id,description,details,image,currency,cost,margin,markup,unitPrice,unitType,trademark,barcode,internalCode
-O1Io4UrWKI8BclL5CrW,CENTRAL DE ALARME CONTRA ROUBO INTELBRAS ANM 24 NET,Intelbras,,BRL,"R$ 290,00",35%,"53,84%","R$ 446,15",un.,,,
-O1IoK4ctSjAsg4YA5al, BATERIA ESTACIONARIA VRLA 12V ALARME,MOURA,,BRL,"R$ 85,00",35%,"53,85%","R$ 130,77",un.,,,
-O1IoWY4003ZhQ4ORIC3, SIRENE 105 DB SIR 1000 - Preta,,,BRL,"R$ 25,00",35%,"53,84%","R$ 38,46",un.,,,
-O1Iomyw6iQl7yfHoK2o, SENSOR IVP 5001 PET,Intelbras,,BRL,"R$ 49,50",35%,"53,84%","R$ 76,15",un.,,,
-O1Ip37ZvKdcSrqhlLYG, CABO 04 VIAS(04X50) LIGA COBRE MULTICORES BR 100 M,,,BRL,"R$ 49,80",35%,"53,86%","R$ 76,62",un.,,,
-O1IpGMiMvueRmevOR7T, Nobreak ATTIV 1200VA-BI,Intelbras,,BRL,"R$ 756,00",35%,"53,85%","R$ 1.163,08",un.,,,
-O1IpSweS4a9Y-QChZHz, Nobreak ATTIV 600VA-BI,Intelbras,,BRL,"R$ 407,00",35%,"53,85%","R$ 626,15",un.,,,
-O2FdCGNsWGawx3A8q2t,AUT DESL SUPER FLASH 220V 60HZ R 4010F (PECCININ),,,BRL,"R$ 1.239,04",25%,"33,33%","R$ 1.652,05",un.,,,
-O5TZMUNKcSGaK9z7lTl,"BOTOEIRA SIMPLES SEM FIO 433,92MHZ ( IPEC)",,,BRL,"R$ 39,99",35%,"53,84%","R$ 61,52",un.,,,
-O5TZXbNYfWntxoo0kSu,BOTOEIRA INOX BRANCA,,,BRL,"R$ 69,68",35%,"53,85%","R$ 107,20",un.,,,
-O5nvo81BnMIbYO6kj9o,COMPUTADOR GAMER - MONITORAMENTO CFTV,ATÉ 68 CÂMERAS,,BRL,"R$ 3.000,00",35%,"53,85%","R$ 4.615,38",un.,,,
-O5nwMIWFCWybbqQ-04R,HUB HDMI 1:2,,,BRL,"R$ 200,00",35%,"53,85%","R$ 307,69",un.,,,
-O8ElySJ2xdmwaMpDGnx,SINALEIRA AUDIOVISUAL S 1001,JFL,,BRL,"R$ 98,64","46,97%","88,56%","R$ 186,00",un.,,,
-O8sf4z_7K9-L4a-RMXr,Sirene com efeito luminoso ,Com fio.,,BRL,"R$ 160,00",35%,"53,84%","R$ 246,15",un.,JFL,,
-OBY4pPO2gYZyRLPUMPh,CAMPAINHA SEM FIO COM BATERIA,INTELBRAS,,BRL,"R$ 74,17",36%,"56,25%","R$ 115,89",un.,,,
-OBY54UgVFKMfoMuSzjA,MOUSE SEM FIO,INTELBRAS,,BRL,"R$ 38,51",35%,"53,86%","R$ 59,25",un.,,,
-OGg7WZEY4gHV4ad9GDz,Disco Rígido 2tb WD Intelbras ,,,BRL,"R$ 400,00",35%,"53,85%","R$ 615,38",un.,,,
-OGg7fL-7P-CMjeq5jhM,Disco Rígido 4TB WD INTELBRAS ,,,BRL,"R$ 710,00",35%,"53,85%","R$ 1.092,31",,,,
-OGoA5K3pYpxpWj6H9yL,EXTENSOR HDMI RJ45 50 METROS VEX 1050,Intelbras ,,BRL,"R$ 360,00",25%,"33,33%","R$ 480,00",un.,,,
-OIu5It6E4WkP-xLi5dw,"Switch 5 Portas, 10/100/1000 Mbps",,,BRL,"R$ 95,00",35%,"53,84%","R$ 146,15",un.,,,
-OIu71cllyNKifSqAmWL,ROTEADOR WIRELESS RF 301K 300MBPS -,,,BRL,,,,"R$ 235,94",un.,,,
-OQwjDPSBbP1TrKqkSOE,GRAVADOR DIG. DE VIDEO IMHDX 3108,,,BRL,"R$ 820,00",35%,"53,85%","R$ 1.261,54",un.,,,
-OQwjYZLVVxzxOVlnnbb,GRAVADOR DIG. VIDEO IMHDX 3104,,,BRL,"R$ 449,00",35%,"53,85%","R$ 690,77",un.,,,
-OQwlxem933bFHaTxkJQ,GRAVADOR DIG. VIDEO IMHDX 3116,,,BRL,"R$ 1.551,00",35%,"53,85%","R$ 2.386,15",un.,,,
-ORGe2rUdq0cW4-MmM9c,SENSOR MAGNETICO SOBREPOR XAS 4010 SMART,INTELBRAS ,,BRL,"R$ 69,00",35%,"53,84%","R$ 106,15",kit,,,
-OT2uSpS5x92VSyuE-YQ,INTERFACE CELULAR 3G - ITC 5100,INTELBRAS ,,BRL,"R$ 775,00",35%,"53,85%","R$ 1.192,31",un.,,,
-OVCx1pGFoByY1ciZlKo,CENTRAL TRIFLEX CONECT BRUSHULESS ,,,BRL,"R$ 660,00",25%,"33,33%","R$ 880,00",un.,,,
-OWWbCJiEq31QZKe2ryT,FECHADURA SELENOIDE COM ACIONADOR ,INTELBRAS ,,BRL,"R$ 621,00",35%,"53,85%","R$ 955,38",kit,,,
-OX0EYqoVpSGJrEbmrzD,"CONJ AUT DE PORTOES E PORTAS PIV SUPER CENTRAL DUPLA 220V 60HZ DUPLA MONO 1,30MTS PPA","Incluso:
* Instalação, configuração e ativação.",,BRL,"R$ 1.370,00",45%,"81,82%","R$ 2.490,91",kit,,,
-OX0F1K96XZZVR7kjR6w,"CONJ AUT DE PORTOES E PORTAS PIV SK JET FLEX STANDARD CENTRAL DUPLA 60HZ 1,00MT PPA","Incluso
* Instalação, configuração e ativação.
* Tecnologia super rápido.",,BRL,"R$ 2.494,79",50%,100%,"R$ 4.989,58",kit,,,
-OX0FRMFPTOef9oPcWRY,"CJ PVD DUP 1/4 0,75M P30 220V RAMP GAREN ","Incluso:
* Instalação, configuração e ativação.",,BRL,"R$ 1.089,12",55%,"122,22%","R$ 2.420,27",,,,
-O_r9hnzvhXBWcR7-pgY,CENTRAL COLETIVA 12,Intelbras ,,BRL,"R$ 787,00",35%,"53,85%","R$ 1.210,77",kit,,,
-ObnSmW33gTlOVi0wr0v,KIT COMPLETO CONTROLADOR DE ACESSO CONTROLE FACIAL - USO EXTERNO.,Controle Facial SS 3432 MF e acessórios INTELBRAS,,BRL,"R$ 850,00",50%,100%,"R$ 2.120,00",kit,,,
-OdAWbHAuLtia7oqlyTB,CENTRAL DE ALARME INTELBRAS AMT 2018E,,,BRL,"R$ 546,90",35%,"53,85%","R$ 841,38",un.,,,
-Odi1FfZBSOXZAMavrt9,INVD 3016  ,Intelbras ,,BRL,"R$ 1.943,00",35%,"53,85%","R$ 2.989,23",un.,,,
-Odi1SmRzajn-sZdEa8z,CAMERA TV IP DOME VIPC 1230 D G2,Intelbras ,,BRL,"R$ 206,00","39,96%","66,54%","R$ 343,08",un.,,,
-Odi1eK5rGlp91pr4iLQ,"Câmera Bullet VIP 3250 AL IA, 2MP",Intelbras ,,BRL,"R$ 735,00",35%,"53,85%","R$ 1.130,77",un.,,,
-Odi1uBmPFHQa_QUVbKP,S1110F-P Switch 8 Portas POE Fast,Intelbras ,,BRL,"R$ 424,00",35%,"53,85%","R$ 652,31",un.,,,
-OdiPsqG0HpbllWfCSSY,CONTROLADORA 1 RELE,SOLCOM,,BRL,"R$ 40,00",35%,"53,85%","R$ 61,54",un.,,,
-OeGmZ8vcAcfb7n5h8vm,Etiqueta de acionamento RFID 900mhz TH 3010 veicular,,,BRL,"R$ 4,00",50%,100%,"R$ 8,00",un.,,,
-OeOvY6ucoFNIx9LKqHl,Leitor Rfid Intelbras Le 170 De Cartão Acesso De Veículos,"KIT DE INSTALAÇÃO COMPLETO COM UMA ANTENA, UMA CONTROLADORA, 100 TAGs VEICULAR E ATIVAÇÃO.",,BRL,"R$ 4.400,00",35%,"53,85%","R$ 6.769,23",,,,
-OeOxRh5qLLUmJEl8swQ,CONTROLADOR ACESSO C/LEITOR UHF EMBUTIDO SS 3710 UHF,,,BRL,"R$ 3.120,00",35%,"53,85%","R$ 4.800,00",un.,,,
-OhXEIdRDX01PrsMYSzn,MODULO INTELIGENTE DE PORTARIA MIP 1000 IP,,,BRL,"R$ 657,20",35%,"53,85%","R$ 1.011,08",pc,,,
-OhXEf_DdS6OE9lrzVgH,ETIQUETA DE ACIONAMENTO RFID VEICULAR 900 MHz TH 3020 UHF,,,BRL,"R$ 12,53",35%,"53,87%","R$ 19,28",un.,,,
-OhXF432YMaDp-lzk8Al,CAMERA TV IP BULLET VIPC 1230 B G2,,,BRL,"R$ 204,66",35%,"53,85%","R$ 314,86",un.,,,
-OhXFWuNBgANoM1rnfV9,CONTROLADOR ACESSO FACIAL SS 3531 MF LITE,,,BRL,"R$ 591,99",35%,"53,85%","R$ 910,75",un.,,,
-OhXFjImk8XW2deWqtlc,CONTROLADOR ACESSO SS 3532 MF,,,BRL,"R$ 849,99",35%,"53,85%","R$ 1.307,68",un.,,,
-OiI6QEfbeelaeYyElm_,PROTETOR ELETRONICO C/ 5 TOMADAS,EPE  BRANCO,,BRL,"R$ 44,95",35%,"53,84%","R$ 69,15",un.,,,
-OiI6nTzfnJ41NjF7uvG,SWITCH 10P 100MBPS ,S1110F P,,BRL,"R$ 551,03",35%,"53,85%","R$ 847,74",un.,,,
-Oj1Euqpjf0GjgGh0RLi,SWITCH 5 PORTAS FAST COM 4 PORTAS POE,Intelbras ,,BRL,"R$ 437,54",35%,"53,85%","R$ 673,14",,,,
-OjRh8U57bFjUbEzL61K,INVD 3032 - GRAVADOR DIGITAL DE VÍDEO EM REDE 4K,,,BRL,"R$ 2.462,00",35%,"53,85%","R$ 3.787,69",un.,,,
-OjRhPmoVehDtlaJI6bY,DISCO RIGIDO 6TB WD64PURZ PC,,,BRL,"R$ 1.247,00",35%,"53,85%","R$ 1.918,46",pc,,,
-OjRiCDrFBlnvdV8mHc1,CABO U/UTP 24AWG 305M PRETO I/O IMPACT LAN UTP CAT.5E 4P CM - IL5CMPR,,,BRL,"R$ 620,00",35%,"53,85%","R$ 953,85",cx,,,
-OjRijI80-SjE6fCZ7O7,INVD 3016 - GRAVADOR DIGITAL DE VÍDEO EM REDE - 16 CANAIS - 4K - RECONHECIMENTO+,,,BRL,"R$ 1.943,00",35%,"53,85%","R$ 2.989,23",un.,,,
-OjRj-pGVWeP4KO4b3dp,PROTETOR ELETRONICO C/ 12 TOMADAS P/ RACK - EPR 212+,,,BRL,"R$ 89,00",35%,"53,84%","R$ 136,92",un.,,,
-OjRjJwlrcuACuEJaiel,BANDEJA FIXA P/ RACK BF1U 400mm,,,BRL,"R$ 111,00",35%,"53,85%","R$ 170,77",un.,,,
